x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
6300,5444.662799,5444.677699,39.73683724,9327095
6301,20.603999,61.992,39.67267724,9334634
6302,20.5481,62.230601,39.53285571,9351127
6303,20.3688,62.0313,39.57163443,9346544
6304,18.4465,51.9689,39.57649531,9345970
6305,20.5878,62.1316,39.83189431,9315959
6306,18.580999,57.401199,40.59112724,9228423
6307,20.581001,61.869901,40.62006718,9225135
6308,17.787301,59.1405,40.47820783,9241286
6309,20.538199,59.927299,40.14247002,9279851
6310,20.7346,62.123901,40.19697822,9273557
6311,20.3369,62.1639,40.75591972,9209747
6312,20.861299,62.454699,0.047974046,268435455
6313,18.257199,64.2982,2.56010932,36746315
6314,20.8295,57.315401,2.581073918,36596776
6315,10.109099,51.507899,2.587003759,36554809
6316,18.3354,64.967401,2.584435429,36572968
6317,20.4975,51.7816,2.583466175,36579828
6318,20.6051,62.1013,2.593296385,36510432
6319,20.620999,62.206799,2.594411756,36502583
6320,20.8894,62.380601,2.607803253,36408739
6321,15.076499,56.395599,2.588889126,36541496
6322,20.641299,57.4422,2.592493234,36516087
6323,20.448701,62.198901,2.603964202,36435568
6324,15.7996,51.5549,2.601578395,36452271
6325,18.357101,67.552,2.611280719,36384488
6326,20.6079,62.2586,0.047974046,268435455
6327,20.840901,62.2426,42.86213937,8980616
6328,12.675801,59.2791,43.2918451,8935935
6329,19.085701,62.0969,43.59895632,8904407
6330,18.451899,62.496199,43.83646424,8880252
6331,20.497,61.963501,43.9678201,8866977
6332,17.75,59.2425,1345.793333,1602706
6333,20.8298,57.4613,0.047974046,268435455
6334,12.4421,53.8017,2.8996704,34527786
6335,20.6092,67.8171,2.62575037,36284098
6336,20.6589,62.1733,2.590800385,36528015
6337,20.532699,62.093399,2.588836416,36541868
6338,20.828,62.326101,2.589106784,36539960
6339,15.2201,56.5231,2.585002115,36568959
6340,19.1896,62.4251,2.585609295,36564665
6341,20.5423,62.2813,2.585609295,36564665
6342,12.9638,59.2163,2.580958962,36597591
6343,20.458399,59.884299,2.580083576,36603799
6344,20.526299,67.4497,2.57630316,36630645
6345,18.1902,64.679501,2.555627223,36778524
6346,20.4972,51.7526,2.559692885,36749304
6347,20.9153,62.3304,2.560600006,36742794
6348,20.6888,62.0883,2.570555986,36671571
6349,20.8166,62.2691,2.573998383,36647041
6350,12.6369,54.0512,2.573588947,36649956
6351,21.0673,57.5325,2.576398111,36629970
6352,20.6804,61.9057,2.584188825,36574713
6353,20.7451,62.2398,2.581156719,36596189
6354,20.8874,62.3026,2.58677745,36556408
6355,20.7016,62.0752,2.597380108,36481719
6356,20.739999,62.114899,2.609763895,36395060
6357,20.6421,62.058001,2.631449659,36244784
6358,20.8721,62.3152,2.641844311,36173409
6359,12.1623,53.6171,2.638494566,36196364
6360,20.8989,55.2379,2.616906152,36345360
6361,20.6317,62.1249,2.635836677,36214609
6362,20.7988,62.1516,2.647235795,36136554
6363,20.6726,62.183,2.648043852,36131040
6364,20.6816,62.0904,2.656515046,36073386
6365,20.652799,70.083499,2.641830581,36173503
6366,20.7852,62.064701,2.630881131,36248700
6367,20.3975,62.1258,2.606353723,36418862
6368,18.5198,67.3681,2.569129831,36681748
6369,20.7458,62.1957,2.552380416,36801909
6370,20.3041,61.7171,2.540049233,36891132
6371,20.495499,54.799399,2.549025579,36826119
6372,20.878501,62.508901,2.569485243,36679211
6373,20.656,61.8686,2.569219483,36681108
6374,20.8697,62.3114,2.63096155,36248146
6375,20.5071,62.0876,2.674299123,35953242
6376,20.8063,62.1997,2.691454731,35838474
6377,20.5462,62.04,2.683456621,35891843
6378,20.822401,62.2938,2.682814953,35896135
6379,20.696699,62.179899,2.68172082,35903457
6380,20.5449,62.090701,2.681683773,35903705
6381,18.588999,59.566599,2.681171466,35907135
6382,20.6977,62.124001,2.677077695,35934579
6383,20.7433,62.1371,2.673348617,35959633
6384,20.7187,62.2138,2.671844252,35969755
6385,20.6151,62.0355,2.671069825,35974969
6386,20.7469,62.2813,2.669996968,35982196
6387,20.7067,62.3142,2.669291583,35986950
6388,20.777201,62.1197,2.667917375,35996217
6389,20.6128,62.1651,2.670958308,35975720
6390,20.8071,62.2376,2.672337541,35966435
6391,18.3028,57.0078,2.674626735,35951040
6392,20.772,62.172399,2.674215222,35953806
6393,20.7227,61.966301,2.680722908,35910139
6394,20.6951,62.1813,2.68303679,35894651
6395,20.606099,62.164199,2.687022878,35868017
6396,20.705999,69.9667,2.689778991,35849636
6397,20.920799,62.3212,2.692845965,35829215
6398,18.9696,54.377101,2.697170185,35800482
6399,20.6759,62.041,2.698565853,35791223
6400,18.3837,64.8564,2.700301283,35779720
6401,20.7737,62.1654,2.694111166,35820801
6402,20.408001,61.9066,2.695783279,35809690
6403,20.6878,52.1146,2.694719725,35816756
6404,18.5316,57.1183,2.693555444,35824496
6405,20.4898,69.5359,2.694152232,35820528
6406,12.5611,51.5556,2.692053375,35834489
6407,20.6766,57.3444,2.689930107,35848629
6408,18.8363,54.7542,2.692340675,35832577
6409,20.674399,67.126699,2.687343839,35865875
6410,12.5405,56.639601,2.682604353,35897544
6411,18.7936,65.2657,2.694267762,35819760
6412,20.707499,51.671499,2.681584437,35904370
6413,20.580601,62.159401,2.67435506,35952866
6414,20.9838,62.3689,2.67600613,35941773
6415,12.691799,53.939099,2.675169018,35947396
6416,20.8727,57.286501,2.676307248,35939751
6417,10.3235,51.6042,2.67852266,35924885
6418,20.712499,59.665699,2.675985879,35941909
6419,20.4683,62.091801,2.676029062,35941619
6420,20.7989,62.2562,2.685366542,35879077
6421,15.661601,64.5886,2.685306518,35879478
6422,18.639099,64.956999,2.69305251,35827841
6423,17.320701,59.464101,2.693926308,35822030
6424,20.7137,57.1452,2.704281899,35753377
6425,20.737999,62.139499,2.712970034,35696082
6426,12.9713,53.917901,2.717444168,35666684
6427,20.5055,60.0325,2.717431215,35666769
6428,21.0305,62.538,2.737931885,35532988
6429,20.6575,62.012,2.699569824,35784567
6430,20.8072,62.112,2.657354764,36067686
6431,20.6415,62.0435,2.66168562,36038331
6432,20.7621,62.2578,2.664229899,36021119
6433,20.765399,61.999699,2.682650387,35897236
6434,20.6654,62.137801,2.688657651,35857111
6435,20.6751,62.2674,2.691011248,35841427
6436,20.768101,62.1284,2.69052569,35844661
6437,18.201201,54.3826,2.691002388,35841486
6438,18.1547,59.5253,2.691722707,35836690
6439,18.4909,64.8493,2.692869113,35829061
6440,20.801199,62.180199,2.690632129,35843952
6441,18.6926,59.581001,2.699826034,35782869
6442,20.885,62.3162,2.706165036,35740935
6443,20.5507,61.952399,2.711651274,35704761
6444,15.219699,61.9527,2.70787294,35729662
6445,16.0338,65.024701,2.707069768,35734962
6446,20.194901,59.5807,2.705491894,35745381
6447,20.6599,62.1982,2.704647264,35750962
6448,20.4006,62.285,2.703555324,35758181
6449,20.5585,61.9299,2.70277478,35763344
6450,20.476699,62.443799,2.7001505,35780719
6451,20.701099,62.038,2.694768478,35816432
6452,20.650701,62.268201,2.687952654,35861813
6453,20.924499,54.570999,2.689570271,35851027
6454,12.5296,53.753201,2.695784483,35809682
6455,20.8489,54.9813,2.700817875,35776298
6456,15.2706,56.7001,2.647746174,36133071
6457,20.8575,52.1106,2.668098229,35994997
6458,20.6426,64.859,2.757620365,35405914
6459,18.3464,56.784,2.733359579,35562695
6460,20.478,51.7809,2.715181672,35681541
6461,18.7035,59.6473,2.70505659,35748257
6462,20.763601,62.0902,2.700297358,35779746
6463,20.7225,62.0605,2.700154424,35780693
6464,20.709601,62.3608,2.686069324,35874383
6465,18.555499,56.887099,2.683163267,35893805
6466,20.6533,62.288,2.682151848,35900572
6467,20.7825,62.163701,2.683594344,35890922
