x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA0
3593,7178.5767,7199.0626,0.047974046,268435455
3594,18.731899,67.558699,0.047974046,268435455
3595,20.5924,61.892701,0.047974046,268435455
3596,20.940099,62.488099,0.047974046,268435455
3597,20.1334,61.593301,0.047974046,268435455
3598,20.8216,57.4487,0.047974046,268435455
3599,20.604399,59.444399,0.047974046,268435455
3600,20.856401,62.297701,0.047974046,268435455
3601,14.9326,56.3799,0.047974046,268435455
3602,20.8968,60.2139,0.047974046,268435455
3603,20.788999,62.126999,0.047974046,268435455
3604,20.5442,62.132501,0.047974046,268435455
3605,9.9196,51.3811,0.047974046,268435455
3606,20.4811,60.02,0.047974046,268435455
3607,18.3024,64.7588,0.047974046,268435455
3608,20.722399,62.186299,0.047974046,268435455
3609,20.882,62.351801,2.7500271,35454761
3610,12.9347,59.2358,3.617393035,30913288
3611,20.772299,59.765899,2.595531262,36494710
3612,20.4432,61.948501,2.647107455,36137430
3613,20.79,59.8455,2.639635871,36188538
3614,20.496501,64.6222,2.826513698,34971761
3615,18.317399,51.808299,0.047974046,268435455
3616,20.682801,62.122701,3.017217918,33848522
3617,20.8507,62.3185,2.693316815,35826083
3618,18.3009,59.4233,2.67272811,35963807
3619,20.709599,62.161299,2.727910964,35598193
3620,20.565,51.827701,2.542770681,36871385
3621,14.988299,56.572999,2.549153775,36825193
3622,20.6726,59.978301,2.787767573,35213952
3623,20.6239,62.3317,2.808516337,35083634
3624,20.7191,69.8642,2.771159538,35319316
3625,20.6663,67.3177,2.577151291,36624617
3626,20.413,62.3045,2.564180798,36717130
3627,20.842,59.4863,2.540218206,36889905
3628,20.4955,62.0391,2.539425131,36895665
3629,20.7019,62.2185,2.541896177,36877727
3630,20.6881,62.3074,2.540996496,36884255
3631,20.6954,62.0093,2.541437457,36881055
3632,20.8086,62.2011,2.538328793,36903632
3633,18.8039,59.6466,2.533139137,36941415
3634,18.1605,59.4538,2.53436043,36932513
3635,18.438299,67.355499,2.520522078,37033759
3636,20.5931,54.514701,2.517043319,37059342
3637,20.8071,62.2076,2.564445916,36715232
3638,20.5809,62.1528,2.542228993,36875313
3639,15.753099,64.730899,2.540596424,36887159
3640,20.780701,59.652701,2.539028457,36898547
3641,20.5656,61.999,2.549433183,36823175
