x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
13752,1357891.7424030001,1357915.8416760005,3.912602155787771,0.04797404564263231,Infinity,Infinity,29724202,268435455,0,0,4.429251253604889,39.99999985098839,0,0,
13753,5.805125999962911,50.92018400132656,3.92049636008965,0.04797404564263231,Infinity,Infinity,29694261,268435455,0,0,4.424789696931839,39.99999985098839,0,0,
13754,3.009229999734089,50.94356900174171,4.007962882664017,0.04797404564263231,Infinity,Infinity,29368462,268435455,0,0,4.376241862773895,39.99999985098839,0,0,
13755,3.063793000066653,53.02890099957585,3.950475335005576,0.04797404564263231,Infinity,Infinity,29581376,268435455,0,0,4.407968521118164,39.99999985098839,0,0,
13756,5.886357000097632,53.89659400098026,3.951030143646922,0.04797404564263231,Infinity,Infinity,29579299,268435455,0,0,4.407659024000168,39.99999985098839,0,0,
13757,4.973536999896169,51.83915799949318,3.8961166817093233,0.04797404564263231,Infinity,Infinity,29787021,268435455,0,0,4.438612014055252,39.99999985098839,0,0,
13758,4.986255000112578,51.851466001942754,4.022961871259604,0.04797404564263231,Infinity,Infinity,29313663,268435455,0,0,4.368076175451279,39.99999985098839,0,0,
13759,4.21169100003317,52.15423499979079,4.010778137676802,0.04797404564263231,Infinity,Infinity,29358153,268435455,0,0,4.3747057020664215,39.99999985098839,0,0,
13760,4.00984499999322,51.59587600082159,4.041541645254882,0.04797404564263231,Infinity,Infinity,29246205,268435455,0,0,4.358024150133133,39.99999985098839,0,0,
13761,2.0475890000816435,50.925927999429405,3.939436638055466,0.04797404564263231,Infinity,Infinity,29622792,268435455,0,0,4.414139986038208,39.99999985098839,0,0,
13762,1.9876909998711199,51.80551700107753,3.934848354058547,0.04797404564263231,Infinity,Infinity,29640058,268435455,0,0,4.416712820529938,39.99999985098839,0,0,
13763,5.422767000040039,50.29331300128251,4.074394400942688,0.04797404564263231,Infinity,Infinity,29128057,268435455,0,0,4.340418726205826,39.99999985098839,0,0,
13764,4.985843999776989,51.411260997876525,3.966941307484024,0.04797404564263231,Infinity,Infinity,29519919,268435455,0,0,4.398810714483261,39.99999985098839,0,0,
13765,2.9784600001294166,51.85351699963212,4.049032282192753,0.04797404564263231,Infinity,Infinity,29219140,268435455,0,0,4.353991150856018,39.99999985098839,0,0,
13766,2.3893329999409616,51.95033800043166,4.107130049368478,0.04797404564263231,Infinity,Infinity,29011743,268435455,0,0,4.323086589574814,39.99999985098839,0,0,
13767,4.965741999913007,53.78746500052512,3.880747883175675,0.04797404564263231,Infinity,Infinity,29845945,268435455,0,0,4.447392374277115,39.99999985098839,0,0,
13768,4.392203000141308,51.85761900059879,4.053285715083814,0.04797404564263231,Infinity,Infinity,29203805,268435455,0,0,4.3517060577869415,39.99999985098839,0,0,
13769,5.023176999995485,51.90603000111878,3.8873619046898544,0.04797404564263231,Infinity,Infinity,29820544,268435455,0,0,4.443607330322266,39.99999985098839,0,0,
13770,5.069947000127286,51.907261000946164,7.298707839431497,0.04797404564263231,Infinity,Infinity,21763065,268435455,0,0,3.2429493963718414,39.99999985098839,0,0,
13771,1.7300509999040514,50.8869540002197,14.464080436828391,0.04797404564263231,Infinity,Infinity,15459578,268435455,0,0,2.3036566376686096,39.99999985098839,0,0,
13772,3.956510999938473,52.738029001280665,80.42792851729013,0.04797404564263231,Infinity,Infinity,6556010,268435455,0,0,0.9769216179847717,39.99999985098839,0,0,
13773,5.859689999604598,51.83874799776822,82.68488289496999,0.04797404564263231,Infinity,Infinity,6465915,268435455,0,0,0.9634964168071747,39.99999985098839,0,0,
13774,2.921024999814108,51.913414999842644,68.03466400413714,0.04797404564263231,Infinity,Infinity,7128168,268435455,0,0,1.0621798038482666,39.99999985098839,0,0,
13775,2.9928190000355244,51.82644000183791,54.82466148102424,0.04797404564263231,Infinity,Infinity,7940632,268435455,0,0,1.183246374130249,39.99999985098839,0,0,
13776,4.9132290000561625,52.77331200055778,6.18774125874129,0.04797404564263231,Infinity,Infinity,23636163,268435455,0,0,3.522062748670578,39.99999985098839,0,0,
13777,3.9556910002138466,50.92100499942899,5.264668051106522,0.04797404564263231,Infinity,Infinity,25624627,268435455,0,0,3.818366974592209,39.99999985098839,0,0,
13778,5.012511000270024,53.90849000029266,5.341023662089486,0.04797404564263231,Infinity,Infinity,25440802,268435455,0,0,3.7909749150276184,39.99999985098839,0,0,
13779,4.054972999962047,50.910748997703195,4.950151645537871,0.04797404564263231,Infinity,Infinity,26426144,268435455,0,0,3.937802314758301,39.99999985098839,0,0,
13780,4.95671600010246,52.76715699676424,4.950151645537871,0.04797404564263231,Infinity,Infinity,26426144,268435455,0,0,3.937802314758301,39.99999985098839,0,0,
13781,4.9431769996881485,51.86910700146109,4.686546031251972,0.04797404564263231,Infinity,Infinity,27159177,268435455,0,0,4.047032743692398,39.99999985098839,0,0,
13782,4.921845000004396,51.85844099894166,4.820432104443577,0.04797404564263231,Infinity,Infinity,26779352,268435455,0,0,3.990434408187866,39.99999985098839,0,0,
13783,4.901741000125185,51.8736189994961,9.539762885829061,0.04797404564263231,Infinity,Infinity,19035937,268435455,0,0,2.8365756571292877,39.99999985098839,0,0,
